TimeStamp;Source1;Source2;Source3
10:56:00,300;J;J;J
10:56:00,300;J;E;J
10:56:00,302;J;G;J
10:56:00,302;J;C;J
10:56:00,302;J;J;J
10:56:00,302;D;E;J
10:56:00,302;H;B;J
10:56:00,302;D;E;J
10:56:00,303;J;J;J
10:56:00,305;B;C;J
10:56:00,310;D;F;J
10:56:00,310;I;G;J
10:56:00,311;F;F;J
10:56:00,314;I;E;J
10:56:00,318;E;F;J
10:56:00,319;G;I;J
10:56:00,321;E;D;J
10:56:00,325;I;D;J
10:56:00,329;E;I;J
10:56:00,330;G;E;J
10:56:00,333;B;E;J
10:56:00,334;D;D;J
10:56:00,337;F;E;J
10:56:00,338;B;D;J
10:56:00,341;I;E;J
10:56:00,345;F;D;J
10:56:00,349;D;D;J
10:56:00,350;F;D;J
10:56:00,353;J;F;J
10:56:00,357;J;C;J
10:56:00,358;C;I;J
10:56:00,361;J;F;J
10:56:00,365;J;E;J
10:56:00,368;G;I;J
10:56:00,372;I;D;J
10:56:00,373;E;J;J
10:56:00,376;G;H;J
10:56:00,380;D;B;J
10:56:00,383;E;D;J
10:56:00,384;C;J;J
10:56:00,387;E;J;J
10:56:00,391;B;B;J
10:56:00,392;J;F;J
10:56:00,395;I;I;J
10:56:00,397;D;I;J
10:56:00,399;C;I;J
10:56:00,399;H;E;J
10:56:00,403;F;F;J
10:56:00,406;I;C;J
10:56:00,407;J;H;J
10:56:00,410;C;E;J
10:56:00,414;E;J;J
10:56:00,414;E;B;J
10:56:00,414;F;G;J
10:56:00,415;J;F;J
10:56:00,415;C;E;J
10:56:00,418;J;G;J
10:56:00,420;I;C;J
10:56:00,422;G;G;J
10:56:00,426;I;G;J
10:56:00,427;E;J;J
10:56:00,427;F;I;J
10:56:00,430;F;E;J
10:56:00,434;H;D;J
10:56:00,438;J;H;J
10:56:00,439;G;C;J
10:56:00,440;B;H;J
10:56:00,442;F;F;J
10:56:00,443;D;H;J
10:56:00,446;I;E;J
10:56:00,450;B;J;J
10:56:00,453;D;E;J
10:56:00,454;D;H;J
10:56:00,457;I;J;J
10:56:00,461;C;I;J
10:56:00,462;J;B;J
10:56:00,465;G;J;J
10:56:00,469;E;B;J
10:56:00,470;B;B;J
10:56:00,472;E;J;J
10:56:00,476;H;I;J
10:56:00,477;B;D;J
10:56:00,481;E;F;J
10:56:00,481;I;E;J
10:56:00,482;G;D;J
10:56:00,484;G;G;J
10:56:00,484;D;I;J
10:56:00,488;H;J;J
10:56:00,489;H;C;J
10:56:00,490;I;D;J
10:56:00,492;H;F;J
10:56:00,493;J;F;J
10:56:00,496;G;J;J
10:56:00,500;G;H;J
10:56:00,502;D;D;J
10:56:00,504;G;C;J
10:56:00,505;J;G;J
10:56:00,508;E;B;J
10:56:00,512;B;J;J
10:56:00,516;D;J;J
10:56:00,517;D;C;J
10:56:00,519;B;I;J
10:56:00,520;J;B;J
10:56:00,521;I;G;J
10:56:00,524;G;F;J
10:56:00,527;J;J;J
10:56:00,529;J;E;J
10:56:00,531;F;E;J
10:56:00,535;C;J;J
10:56:00,552;G;D;J
10:56:00,578;D;J;J
10:56:00,580;D;F;J
10:56:00,586;G;F;J
10:56:00,586;I;I;J
10:56:00,586;G;G;J
10:56:00,586;D;G;J
10:56:00,586;I;C;J
10:56:00,592;J;H;J
10:56:00,593;H;C;J
10:56:00,594;H;F;J
10:56:00,597;G;F;J
10:56:00,598;G;I;J
10:56:00,602;J;I;J
10:56:00,603;C;C;J
10:56:00,603;J;G;J
10:56:00,603;C;D;J
10:56:00,603;J;H;J
10:56:00,603;D;E;J
10:56:00,603;J;D;J
10:56:00,603;I;C;J
10:56:00,604;J;C;J
10:56:00,605;C;G;J
10:56:00,606;C;I;J
10:56:00,611;J;D;J
10:56:00,612;I;H;J
10:56:00,613;F;I;J
10:56:00,617;B;J;J
10:56:00,618;H;J;J
10:56:00,621;B;G;J
10:56:00,625;C;E;J
10:56:00,626;H;E;J
10:56:00,629;C;J;J
10:56:00,633;H;I;J
10:56:00,634;I;G;J
10:56:00,636;C;B;J
10:56:00,640;B;E;J
10:56:00,642;I;B;J
10:56:00,644;D;I;J
10:56:00,648;F;I;J
10:56:00,648;C;G;J
10:56:00,649;D;C;J
10:56:00,649;C;F;J
10:56:00,649;H;H;J
10:56:00,653;H;C;J
10:56:00,655;I;G;J
10:56:00,657;J;C;J
10:56:00,661;B;G;J
10:56:00,665;F;E;J
10:56:00,666;G;B;J
10:56:00,667;G;D;J
10:56:00,668;F;B;J
10:56:00,669;J;D;J
10:56:00,673;F;C;J
10:56:00,677;B;J;J
10:56:00,678;C;I;J
10:56:00,681;G;H;J
10:56:00,682;I;G;J
10:56:00,716;I;F;J
10:56:00,721;H;J;J
10:56:00,723;C;J;J
10:56:00,725;B;G;J
10:56:00,726;G;J;J
10:56:00,729;H;H;J
10:56:00,730;I;G;J
10:56:00,734;B;G;J
10:56:00,735;J;G;J
10:56:00,737;G;E;J
10:56:00,738;F;D;J
10:56:00,751;B;F;J
10:56:00,751;B;J;J
10:56:00,752;C;B;J
10:56:00,755;J;F;J
10:56:00,757;F;G;J
10:56:00,759;J;J;J
10:56:00,760;J;C;J
10:56:00,763;D;E;J
10:56:00,764;B;B;J
10:56:00,767;D;B;J
10:56:00,769;B;I;J
10:56:00,771;B;J;J
10:56:00,772;D;J;J
10:56:00,775;D;J;J
10:56:00,776;H;J;J
10:56:00,778;C;D;J
10:56:00,780;B;I;J
10:56:00,783;J;I;J
10:56:00,787;H;B;J
10:56:00,788;G;E;J
10:56:00,790;E;H;J
10:56:00,791;J;I;J
10:56:00,794;E;F;J
10:56:00,795;G;J;J
10:56:00,799;G;D;J
10:56:00,799;F;C;J
10:56:00,802;H;F;J
10:56:00,804;C;C;J
10:56:00,806;D;D;J
10:56:00,810;F;I;J
10:56:00,811;H;G;J
10:56:00,814;F;C;J
10:56:00,815;B;C;J
10:56:00,818;J;E;J
10:56:00,819;H;E;J
10:56:00,822;D;E;J
10:56:00,823;D;D;J
10:56:00,823;J;D;J
10:56:00,824;H;C;J
10:56:00,828;H;G;J
10:56:00,831;E;I;J
10:56:00,833;F;B;J
10:56:00,835;G;H;J
10:56:00,839;J;J;J
10:56:00,841;B;D;J
10:56:00,843;I;F;J
10:56:00,847;I;G;J
10:56:00,849;C;G;J
10:56:00,851;I;B;J
10:56:00,852;G;B;J
10:56:00,856;J;F;J
10:56:00,857;G;I;J
10:56:00,859;J;D;J
10:56:00,861;F;G;J
10:56:00,863;D;H;J
10:56:00,867;E;I;J
10:56:00,868;C;H;J
10:56:00,871;I;E;J
10:56:00,874;I;E;J
10:56:00,875;J;E;J
10:56:00,876;D;J;J
10:56:00,876;H;C;J
10:56:00,877;I;E;J
10:56:00,879;G;D;J
10:56:00,881;E;J;J
10:56:00,883;D;B;J
10:56:00,884;I;J;J
10:56:00,888;B;G;J
10:56:00,889;C;C;J
10:56:00,891;I;D;J
10:56:00,895;B;G;J
10:56:00,896;H;B;J
10:56:00,899;B;I;J
10:56:00,903;I;F;J
10:56:00,904;F;B;J
10:56:00,907;I;F;J
10:56:00,908;C;H;J
10:56:00,911;G;H;J
10:56:00,912;D;G;J
10:56:00,914;D;F;J
10:56:00,916;J;D;J
10:56:00,917;F;C;J
10:56:00,918;E;D;J
10:56:00,919;J;H;J
10:56:00,920;D;G;J
10:56:00,921;D;E;J
10:56:00,921;D;I;J
10:56:00,924;C;E;J
10:56:00,928;J;E;J
10:56:00,929;H;C;J
10:56:00,932;G;H;J
10:56:00,936;G;B;J
10:56:00,937;H;F;J
10:56:00,940;H;I;J
10:56:00,941;G;B;J
10:56:00,944;I;C;J
10:56:00,945;H;G;J
10:56:00,948;C;I;J
10:56:00,949;H;C;J
10:56:00,952;E;J;J
10:56:00,953;B;H;J
10:56:00,956;J;B;J
10:56:00,957;H;G;J
10:56:00,960;B;F;J
10:56:00,961;D;D;J
10:56:00,964;B;I;J
10:56:00,967;I;J;J
10:56:00,969;D;G;J
10:56:00,971;J;F;J
10:56:00,971;G;D;J
10:56:00,973;D;E;J
10:56:00,975;J;E;J
10:56:00,977;J;J;J
10:56:00,979;E;C;J
10:56:00,981;B;D;J
10:56:00,983;D;H;J
10:56:00,984;G;H;J
10:56:00,987;C;G;J
10:56:00,987;C;B;J
10:56:00,988;G;E;J
10:56:00,992;J;E;J
10:56:00,993;I;B;J
10:56:00,995;G;I;J
10:56:00,996;B;E;J
10:56:00,999;F;B;J
10:56:01,000;C;C;J
10:56:01,003;G;F;J
10:56:01,004;C;I;J
10:56:01,007;H;I;J
10:56:01,008;I;J;J
10:56:01,011;F;H;J
10:56:01,012;D;F;J
10:56:01,015;G;D;J
10:56:01,016;I;G;J
10:56:01,019;J;D;J
10:56:01,020;E;H;J
10:56:01,023;I;H;J
10:56:01,024;B;E;J
10:56:01,026;B;H;J
10:56:01,028;G;C;J
10:56:01,030;I;H;J
10:56:01,032;J;B;J
10:56:01,034;I;E;J
10:56:01,038;E;H;J
10:56:01,039;F;I;J
10:56:01,042;D;G;J
10:56:01,044;D;B;J
10:56:01,046;I;B;J
10:56:01,050;G;B;J
10:56:01,051;F;B;J
10:56:01,054;H;C;J
10:56:01,058;E;C;J
10:56:01,060;E;G;J
10:56:01,062;C;H;J
10:56:01,062;G;D;J
10:56:01,066;J;B;J
10:56:01,068;E;F;J
10:56:01,070;E;G;J
10:56:01,072;H;B;J
10:56:01,075;D;F;J
10:56:01,076;E;D;J
10:56:01,078;E;G;J
10:56:01,080;G;C;J
10:56:01,082;C;I;J
10:56:01,083;G;H;J
10:56:01,086;B;F;J
10:56:01,090;B;G;J
10:56:01,092;D;D;J
10:56:01,094;D;C;J
10:56:01,096;E;F;J
10:56:01,096;I;G;J
10:56:01,098;F;F;J
10:56:01,098;D;D;J
10:56:01,099;B;G;J
10:56:01,100;H;H;J
10:56:01,102;B;E;J
10:56:01,106;E;H;J
10:56:01,107;G;D;J
10:56:01,111;J;H;J
10:56:01,114;G;E;J
10:56:01,114;J;I;J
10:56:01,114;E;F;J
10:56:01,115;I;H;J
10:56:01,118;E;J;J
10:56:01,122;B;C;J
10:56:01,123;B;H;J
10:56:01,126;E;F;J
10:56:01,129;F;E;J
10:56:01,131;J;H;J
10:56:01,133;D;E;J
10:56:01,134;C;I;J
10:56:01,135;F;G;J
10:56:01,139;H;D;J
10:56:01,144;B;G;J
10:56:01,145;J;J;J
10:56:01,148;F;E;J
10:56:01,151;D;F;J
10:56:01,153;B;I;J
10:56:01,155;J;J;J
10:56:01,159;I;E;J
10:56:01,163;B;C;J
10:56:01,165;H;F;J
10:56:01,167;F;D;J
10:56:01,168;I;E;J
10:56:01,171;G;G;J
10:56:01,172;E;F;J
10:56:01,172;I;J;J
10:56:01,173;F;F;J
10:56:01,177;F;B;J
10:56:01,178;I;E;J
10:56:01,181;C;D;J
10:56:01,185;E;F;J
10:56:01,186;E;B;J
10:56:01,189;B;C;J
10:56:01,193;C;C;J
10:56:01,197;H;G;J
10:56:01,198;E;B;J
10:56:01,201;F;G;J
10:56:01,201;J;D;J
10:56:01,202;D;H;J
10:56:01,203;J;F;J
10:56:01,205;H;E;J
10:56:01,209;F;C;J
10:56:01,210;H;D;J
10:56:01,212;H;J;J
10:56:01,216;J;H;J
10:56:01,217;J;F;J
10:56:01,220;E;J;J
10:56:01,220;E;J;J
10:56:01,224;E;I;J
10:56:01,224;I;H;J
10:56:01,224;H;C;J
10:56:01,224;D;I;J
10:56:01,225;J;J;J
10:56:01,229;C;D;J
10:56:01,230;G;F;J
10:56:01,232;D;B;J
10:56:01,232;G;C;J
10:56:01,232;E;F;J
10:56:01,234;D;H;J
10:56:01,237;C;E;J
10:56:01,237;G;C;J
10:56:01,237;E;B;J
10:56:01,238;I;F;J
10:56:01,239;B;G;J
10:56:01,240;B;D;J
10:56:01,241;F;D;J
10:56:01,243;I;B;J
10:56:01,244;J;C;J
10:56:01,246;H;F;J
10:56:01,247;I;G;J
10:56:01,250;B;C;J
10:56:01,251;C;D;J
10:56:01,253;F;H;J
10:56:01,257;H;I;J
10:56:01,258;H;C;J
10:56:01,261;D;G;J
10:56:01,265;E;G;J
10:56:01,266;H;J;J
10:56:01,268;E;E;J
10:56:01,272;I;B;J
10:56:01,277;I;C;J
10:56:01,278;B;I;J
10:56:01,280;E;I;J
10:56:01,284;F;J;J
10:56:01,286;E;H;J
10:56:01,288;C;D;J
10:56:01,290;G;C;J
10:56:01,292;I;G;J
10:56:01,292;B;J;J
10:56:01,293;F;E;J
10:56:01,293;H;F;J
10:56:01,294;G;E;J
10:56:01,294;I;I;J
10:56:01,294;I;E;J
10:56:01,295;B;F;J
10:56:01,298;E;D;J
10:56:01,302;F;I;J
10:56:01,304;B;G;J
10:56:01,306;I;D;J
10:56:01,307;H;G;J
10:56:01,308;J;D;J
10:56:01,311;E;B;J
10:56:01,312;D;J;J
10:56:01,314;H;B;J
10:56:01,315;J;D;J
10:56:01,318;J;E;J
10:56:01,320;B;D;J
10:56:01,322;H;B;J
10:56:01,323;D;B;J
10:56:01,326;I;D;J
10:56:01,327;J;F;J
10:56:01,330;C;B;J
10:56:01,332;E;E;J
10:56:01,334;J;E;J
10:56:01,335;H;F;J
10:56:01,337;D;H;J
10:56:01,338;B;G;J
10:56:01,339;F;J;J
10:56:01,342;D;I;J
10:56:01,342;J;E;J
10:56:01,342;G;I;J
10:56:01,343;H;G;J
10:56:01,343;B;G;J
10:56:01,344;C;F;J
10:56:01,344;D;J;J
10:56:01,347;D;I;J
10:56:01,348;C;C;J
10:56:01,351;D;D;J
10:56:01,351;E;F;J
10:56:01,351;E;G;J
10:56:01,351;J;H;J
10:56:01,352;D;F;J
10:56:01,352;E;F;J
10:56:01,356;E;E;J
10:56:01,357;G;B;J
10:56:01,358;B;B;J
10:56:01,362;H;J;J
10:56:01,364;F;F;J
10:56:01,366;C;F;J
10:56:01,367;E;G;J
10:56:01,370;D;F;J
10:56:01,371;E;B;J
10:56:01,374;E;G;J
10:56:01,378;B;J;J
10:56:01,378;J;J;J
10:56:01,379;B;I;J
10:56:01,379;J;G;J
10:56:01,383;C;D;J
10:56:01,384;D;B;J
10:56:01,386;B;G;J
10:56:01,387;E;I;J
10:56:01,390;D;E;J
10:56:01,394;D;B;J
10:56:01,395;I;J;J
10:56:01,398;B;E;J
10:56:01,399;D;C;J
10:56:01,401;J;G;J
10:56:01,403;F;D;J
10:56:01,405;G;B;J
10:56:01,409;J;J;J
10:56:01,409;D;B;J
10:56:01,410;E;G;J
10:56:01,410;E;G;J
10:56:01,411;E;D;J
10:56:01,416;E;D;J
10:56:01,416;D;H;J
10:56:01,417;I;E;J
10:56:01,420;D;E;J
10:56:01,420;C;D;J
10:56:01,420;B;H;J
10:56:01,422;I;E;J
10:56:01,422;J;G;J
10:56:01,424;E;D;J
10:56:01,424;B;E;J
10:56:01,424;J;E;J
10:56:01,425;H;H;J
10:56:01,429;H;F;J
10:56:01,430;G;J;J
10:56:01,433;J;D;J
10:56:01,437;F;C;J
10:56:01,438;B;J;J
10:56:01,440;H;E;J
10:56:01,441;E;G;J
10:56:01,444;I;H;J
10:56:01,445;J;G;J
10:56:01,448;F;I;J
10:56:01,449;H;E;J
10:56:01,449;B;I;J
10:56:01,452;H;J;J
10:56:01,453;H;J;J
10:56:01,456;B;I;J
10:56:01,460;J;D;J
10:56:01,460;G;G;J
10:56:01,460;D;I;J
10:56:01,461;D;F;J
10:56:01,464;B;H;J
10:56:01,468;F;E;J
10:56:01,469;E;I;J
10:56:01,472;B;C;J
10:56:01,473;D;B;J
10:56:01,476;C;J;J
10:56:01,479;G;H;J
10:56:01,481;C;F;J
10:56:01,483;C;E;J
10:56:01,484;B;B;J
10:56:01,486;C;B;J
10:56:01,487;B;I;J
10:56:01,488;I;E;J
10:56:01,491;H;B;J
10:56:01,491;B;G;J
10:56:01,492;D;E;J
10:56:01,492;I;D;J
10:56:01,493;E;F;J
10:56:01,495;I;B;J
10:56:01,496;G;B;J
10:56:01,499;J;F;J
10:56:01,500;I;D;J
10:56:01,502;F;C;J
10:56:01,503;J;J;J
10:56:01,506;H;C;J
10:56:01,508;G;E;J
10:56:01,510;J;B;J
10:56:01,515;F;F;J
10:56:01,516;E;I;J
10:56:01,519;D;D;J
10:56:01,522;J;G;J
10:56:01,524;D;E;J
10:56:01,526;J;E;J
10:56:01,527;E;I;J
10:56:01,530;I;H;J
10:56:01,533;G;E;J
10:56:01,533;I;C;J
10:56:01,534;G;B;J
10:56:01,535;B;D;J
10:56:01,538;J;C;J
10:56:01,542;G;H;J
10:56:01,543;I;B;J
10:56:01,546;D;G;J
10:56:01,547;B;B;J
10:56:01,550;J;G;J
10:56:01,554;B;C;J
10:56:01,555;F;C;J
10:56:01,557;D;I;J
10:56:01,562;F;C;J
10:56:01,562;J;D;J
10:56:01,562;H;D;J
10:56:01,562;F;C;J
10:56:01,562;F;H;J
10:56:01,563;C;B;J
10:56:01,566;B;E;J
10:56:01,567;I;H;J
10:56:01,570;H;E;J
10:56:01,570;C;F;J
10:56:01,570;J;B;J
10:56:01,571;I;B;J
10:56:01,574;H;I;J
10:56:01,575;D;F;J
10:56:01,578;D;C;J
10:56:01,582;D;C;J
10:56:01,583;D;D;J
10:56:01,584;H;I;J
10:56:01,586;B;F;J
10:56:01,590;J;E;J
10:56:01,591;H;E;J
10:56:01,591;C;I;J
10:56:01,593;D;C;J
10:56:01,597;H;B;J
10:56:01,598;J;C;J
10:56:01,602;I;G;J
10:56:01,603;I;B;J
10:56:01,605;C;F;J
10:56:01,605;C;G;J
10:56:01,606;C;E;J
10:56:01,609;H;F;J
10:56:01,613;B;I;J
10:56:01,617;J;E;J
10:56:01,619;D;C;J
10:56:01,621;C;J;J
10:56:01,625;J;H;J
10:56:01,626;C;C;J
10:56:01,628;B;F;J
10:56:01,632;D;J;J
10:56:01,633;E;E;J
10:56:01,636;E;F;J
10:56:01,637;D;G;J
10:56:01,640;B;H;J
10:56:01,644;F;I;J
10:56:01,645;C;E;J
10:56:01,648;D;E;J
10:56:01,652;D;G;J
10:56:01,653;I;D;J
10:56:01,656;C;E;J
10:56:01,660;I;J;J
10:56:01,663;E;D;J
10:56:01,668;I;G;J
10:56:01,668;E;C;J
10:56:01,669;F;B;J
10:56:01,673;E;C;J
10:56:01,674;J;H;J
10:56:01,674;C;J;J
10:56:01,675;F;I;J
10:56:01,677;F;J;J
10:56:01,679;J;G;J
10:56:01,681;H;D;J
10:56:01,685;H;B;J
10:56:01,686;G;J;J
10:56:01,689;H;I;J
10:56:01,693;H;J;J
10:56:01,694;I;D;J
10:56:01,696;E;I;J
10:56:01,698;I;D;J
10:56:01,700;E;J;J
10:56:01,701;G;E;J
10:56:01,705;C;B;J
10:56:01,708;D;D;J
10:56:01,710;F;J;J
10:56:01,712;D;J;J
10:56:01,716;F;B;J
10:56:01,720;I;B;J
10:56:01,722;H;H;J
10:56:01,724;I;J;J
10:56:01,728;E;I;J
10:56:01,729;C;B;J
10:56:01,731;J;I;J
10:56:01,731;D;B;J
10:56:01,732;I;H;J
10:56:01,736;I;G;J
10:56:01,737;C;B;J
10:56:01,740;C;H;J
10:56:01,744;D;E;J
10:56:01,745;B;E;J
10:56:01,748;I;G;J
10:56:01,749;I;D;J
10:56:01,751;H;C;J
10:56:01,755;E;D;J
10:56:01,759;C;D;J
10:56:01,760;G;E;J
10:56:01,761;G;G;J
10:56:01,761;D;B;J
10:56:01,764;I;I;J
10:56:01,768;J;I;J
10:56:01,769;D;I;J
10:56:01,773;E;J;J
10:56:01,776;B;E;J
10:56:01,777;H;E;J
10:56:01,780;C;I;J
10:56:01,784;H;B;J
10:56:01,788;C;E;J
10:56:01,789;H;G;J
10:56:01,792;F;G;J
10:56:01,795;F;H;J
10:56:01,797;F;I;J
10:56:01,799;G;J;J
10:56:01,803;H;D;J
10:56:01,807;D;I;J
10:56:01,808;I;B;J
10:56:01,811;I;J;J
10:56:01,815;C;G;J
10:56:01,816;E;G;J
10:56:01,819;E;D;J
10:56:01,823;E;B;J
10:56:01,824;J;F;J
10:56:01,827;J;E;J
10:56:01,828;B;C;J
10:56:01,830;F;B;J
10:56:01,834;C;G;J
10:56:01,839;J;C;J
10:56:01,840;E;F;J
10:56:01,842;B;B;J
10:56:01,846;E;F;J
10:56:01,850;J;F;J
10:56:01,851;C;I;J
10:56:01,854;H;F;J
10:56:01,858;F;F;J
10:56:01,859;C;E;J
10:56:01,861;J;C;J
10:56:01,865;B;H;J
10:56:01,865;D;H;J
10:56:01,866;F;I;J
10:56:01,869;G;C;J
10:56:01,870;B;D;J
10:56:01,874;C;I;J
10:56:01,877;C;G;J
10:56:01,878;E;B;J
10:56:01,881;J;J;J
10:56:01,881;G;J;J
10:56:01,883;J;C;J
10:56:01,886;H;E;J
10:56:01,886;B;E;J
10:56:01,887;H;C;J
10:56:01,888;I;G;J
10:56:01,889;J;E;J
10:56:01,891;F;G;J
10:56:01,894;B;I;J
10:56:01,895;G;J;J
10:56:01,898;H;G;J
10:56:01,902;H;G;J
10:56:01,903;F;D;J
10:56:01,907;E;I;J
10:56:01,910;F;D;J
10:56:01,911;D;B;J
10:56:01,912;B;F;J
10:56:01,912;J;D;J
10:56:01,914;I;H;J
10:56:01,918;G;C;J
10:56:01,918;J;C;J
10:56:01,919;J;B;J
10:56:01,919;G;C;J
10:56:01,924;G;F;J
10:56:01,925;G;H;J
10:56:01,928;C;G;J
10:56:01,928;G;B;J
10:56:01,929;F;E;J
10:56:01,930;J;C;J
10:56:01,933;B;J;J
10:56:01,935;H;H;J
10:56:01,936;J;J;J
10:56:01,936;B;D;J
10:56:01,937;J;H;J
10:56:01,940;H;F;J
10:56:01,944;I;B;J
10:56:01,945;G;C;J
10:56:01,948;C;E;J
10:56:01,949;G;E;J
10:56:01,952;J;I;J
10:56:01,956;H;C;J
10:56:01,956;H;I;J
10:56:01,960;B;E;J
10:56:01,964;J;J;J
10:56:01,965;J;D;J
10:56:01,967;F;H;J
10:56:01,971;E;J;J
10:56:01,971;J;B;J
10:56:01,971;H;E;J
10:56:01,972;D;C;J
10:56:01,975;E;E;J
10:56:01,975;J;E;J
10:56:01,977;H;E;J
10:56:01,977;B;D;J
10:56:01,981;D;G;J
10:56:01,982;F;E;J
10:56:01,984;I;G;J
10:56:01,988;J;F;J
10:56:01,989;E;B;J
10:56:01,993;I;F;J
10:56:01,993;B;G;J
10:56:01,993;J;H;J
10:56:01,993;I;B;J
10:56:01,993;F;F;J
10:56:01,995;G;C;J
10:56:01,997;C;J;J
10:56:01,999;J;H;J
10:56:02,002;D;C;J
10:56:02,003;E;D;J
10:56:02,007;G;C;J
10:56:02,008;D;I;J
10:56:02,011;G;E;J
10:56:02,015;F;I;J
10:56:02,016;I;C;J
10:56:02,019;F;H;J
10:56:02,019;G;F;J
10:56:02,019;G;C;J
10:56:02,020;C;G;J
10:56:02,023;F;D;J
10:56:02,024;J;B;J
10:56:02,027;E;F;J
10:56:02,027;D;E;J
10:56:02,031;F;G;J
10:56:02,033;E;E;J
10:56:02,034;J;F;J
10:56:02,035;G;J;J
10:56:02,038;J;I;J
10:56:02,039;J;D;J
10:56:02,042;D;J;J
10:56:02,046;J;F;J
10:56:02,047;F;F;J
10:56:02,049;J;B;J
10:56:02,053;I;C;J
10:56:02,055;I;C;J
10:56:02,058;D;I;J
10:56:02,058;F;D;J
10:56:02,058;B;H;J
10:56:02,058;J;D;J
