TimeStamp;Source1;Source2;Source3
10:56:00,349;D;E;J
10:56:00,350;D;F;E
10:56:00,353;D;J;G
10:56:00,357;J;D;G
10:56:00,358;G;F;H
10:56:00,361;C;G;F
10:56:00,365;D;F;H
10:56:00,368;H;F;H
10:56:00,372;C;F;H
10:56:00,373;C;B;D
10:56:00,376;B;E;J
10:56:00,380;J;D;D
10:56:00,383;D;J;E
10:56:00,384;G;I;D
10:56:00,387;C;B;H
10:56:00,391;D;D;I
10:56:00,392;C;D;E
10:56:00,395;D;E;J
10:56:00,397;H;B;H
10:56:00,399;B;F;C
10:56:00,399;J;C;I
10:56:00,403;F;D;D
10:56:00,406;H;J;J
10:56:00,407;D;I;B
10:56:00,410;C;J;F
10:56:00,414;C;B;E
10:56:00,414;J;H;B
10:56:00,414;D;J;B
10:56:00,415;J;D;H
10:56:00,415;I;E;B
10:56:00,418;G;H;I
10:56:00,420;F;C;G
10:56:00,422;H;F;J
10:56:00,426;D;G;E
10:56:00,427;H;B;C
10:56:00,427;G;C;E
10:56:00,430;D;I;I
10:56:00,434;J;H;I
10:56:00,438;I;J;H
10:56:00,439;H;E;G
10:56:00,440;H;D;D
10:56:00,442;G;J;C
10:56:00,443;E;B;H
10:56:00,446;G;I;C
10:56:00,450;J;B;I
10:56:00,453;C;E;F
10:56:00,454;F;F;H
10:56:00,457;G;E;G
10:56:00,461;E;C;E
10:56:00,462;G;C;F
10:56:00,465;G;H;I
10:56:00,469;B;H;I
10:56:00,470;I;E;G
10:56:00,472;E;C;I
10:56:00,476;C;C;F
10:56:00,477;I;I;D
10:56:00,481;C;H;I
10:56:00,481;F;H;F
10:56:00,482;C;F;F
10:56:00,484;C;D;J
10:56:00,484;G;F;G
10:56:00,488;E;F;E
10:56:00,489;D;H;I
10:56:00,490;J;G;J
10:56:00,492;F;J;I
10:56:00,493;C;E;I
10:56:00,496;I;G;B
10:56:00,500;B;B;G
10:56:00,502;B;I;D
10:56:00,504;H;B;H
10:56:00,505;J;H;B
10:56:00,508;F;E;E
10:56:00,512;J;F;B
10:56:00,516;H;F;E
10:56:00,517;F;H;J
10:56:00,519;F;D;E
10:56:00,520;I;H;B
10:56:00,521;G;J;H
10:56:00,524;B;B;F
10:56:00,527;F;F;F
10:56:00,529;C;I;B
10:56:00,531;C;F;D
10:56:00,535;H;B;H
10:56:00,552;C;C;E
10:56:00,578;G;D;J
10:56:00,580;I;I;B
10:56:00,586;H;F;C
10:56:00,586;C;D;C
10:56:00,586;F;F;D
10:56:00,586;H;G;D
10:56:00,586;I;G;H
10:56:00,592;G;B;D
10:56:00,593;F;G;H
10:56:00,594;E;H;I
10:56:00,597;E;G;E
10:56:00,598;F;C;C
10:56:00,602;G;I;C
10:56:00,603;B;I;C
10:56:00,603;J;C;C
10:56:00,603;J;J;H
10:56:00,603;F;D;C
10:56:00,603;G;B;C
10:56:00,603;B;C;H
10:56:00,603;C;H;B
10:56:00,604;D;B;D
10:56:00,605;F;F;G
10:56:00,606;J;C;I
10:56:00,611;H;G;F
10:56:00,612;D;E;E
10:56:00,613;C;E;H
10:56:00,617;E;D;G
10:56:00,618;D;C;H
10:56:00,621;D;B;B
10:56:00,625;C;F;D
10:56:00,626;G;G;F
10:56:00,629;I;H;J
10:56:00,633;G;G;G
10:56:00,634;J;C;F
10:56:00,636;H;F;E
10:56:00,640;C;I;G
10:56:00,642;C;I;E
10:56:00,644;G;F;H
10:56:00,648;F;B;G
10:56:00,648;G;H;D
10:56:00,649;C;F;I
10:56:00,649;J;B;B
10:56:00,649;D;E;G
10:56:00,653;D;G;C
10:56:00,655;F;E;C
10:56:00,657;H;J;E
10:56:00,661;E;B;H
10:56:00,665;C;G;J
10:56:00,666;D;B;F
10:56:00,667;C;G;E
10:56:00,668;F;E;B
10:56:00,669;I;C;F
10:56:00,673;E;B;F
10:56:00,677;C;G;H
10:56:00,678;E;F;J
10:56:00,681;H;E;J
10:56:00,682;G;E;J
10:56:00,716;E;H;I
10:56:00,721;D;I;J
10:56:00,723;I;C;B
10:56:00,725;D;E;H
10:56:00,726;B;J;D
10:56:00,729;J;D;I
10:56:00,730;C;D;D
10:56:00,734;B;I;C
10:56:00,735;I;C;I
10:56:00,737;F;H;E
10:56:00,738;J;B;G
10:56:00,751;G;J;J
10:56:00,751;I;J;H
10:56:00,752;G;H;F
10:56:00,755;D;J;B
10:56:00,757;H;C;I
10:56:00,759;F;E;F
10:56:00,760;I;H;C
10:56:00,763;F;H;D
10:56:00,764;F;E;I
10:56:00,767;G;B;E
10:56:00,769;G;J;D
10:56:00,771;I;H;J
10:56:00,772;B;C;H
10:56:00,775;B;B;F
10:56:00,776;G;B;C
10:56:00,778;D;D;B
10:56:00,780;H;J;C
10:56:00,783;D;D;I
10:56:00,787;C;B;F
10:56:00,788;D;H;H
10:56:00,790;G;G;J
10:56:00,791;J;D;I
10:56:00,794;J;H;H
10:56:00,795;F;F;I
10:56:00,799;J;C;E
10:56:00,799;F;J;D
10:56:00,802;G;I;J
10:56:00,804;E;I;C
10:56:00,806;D;J;G
10:56:00,810;H;I;B
10:56:00,811;I;D;F
10:56:00,814;E;H;G
10:56:00,815;D;E;F
10:56:00,818;C;J;I
10:56:00,819;E;J;F
10:56:00,822;D;D;G
10:56:00,823;J;H;D
10:56:00,823;D;F;E
10:56:00,824;B;D;C
10:56:00,828;D;I;G
10:56:00,831;G;J;D
10:56:00,833;D;J;C
10:56:00,835;F;J;E
10:56:00,839;G;C;B
10:56:00,841;J;J;E
10:56:00,843;E;C;C
10:56:00,847;D;G;C
10:56:00,849;B;H;C
10:56:00,851;H;C;H
10:56:00,852;B;B;F
10:56:00,856;D;D;F
10:56:00,857;B;B;C
10:56:00,859;F;C;D
10:56:00,861;F;I;I
10:56:00,863;I;D;F
10:56:00,867;I;J;B
10:56:00,868;I;I;E
10:56:00,871;B;H;G
10:56:00,874;C;G;G
10:56:00,875;C;G;B
10:56:00,876;J;C;J
10:56:00,876;H;J;G
10:56:00,877;F;I;E
10:56:00,879;E;F;E
10:56:00,881;J;G;B
10:56:00,883;I;B;F
10:56:00,884;F;E;E
10:56:00,888;E;G;F
10:56:00,889;C;J;H
10:56:00,891;J;I;J
10:56:00,895;I;H;H
10:56:00,896;E;G;G
10:56:00,899;J;B;C
10:56:00,903;F;B;G
10:56:00,904;J;B;E
10:56:00,907;E;E;G
10:56:00,908;G;E;G
10:56:00,911;H;H;I
10:56:00,912;E;E;E
10:56:00,914;E;I;I
10:56:00,916;C;G;J
10:56:00,917;I;E;I
10:56:00,918;E;J;I
10:56:00,919;J;H;G
10:56:00,920;I;D;J
10:56:00,921;G;H;B
10:56:00,921;J;F;G
10:56:00,924;I;D;H
10:56:00,928;C;H;C
10:56:00,929;D;F;C
10:56:00,932;H;F;D
10:56:00,936;G;G;B
10:56:00,937;C;H;E
10:56:00,940;C;D;C
10:56:00,941;G;H;J
10:56:00,944;J;B;C
10:56:00,945;J;H;G
10:56:00,948;G;G;C
10:56:00,949;B;H;D
10:56:00,952;J;E;B
10:56:00,953;I;C;E
10:56:00,956;G;F;E
10:56:00,957;H;H;J
10:56:00,960;C;B;J
10:56:00,961;C;I;I
10:56:00,964;H;I;J
10:56:00,967;I;G;H
10:56:00,969;I;H;B
10:56:00,971;B;C;J
10:56:00,971;I;F;I
10:56:00,973;F;C;H
10:56:00,975;G;I;D
10:56:00,977;B;I;E
10:56:00,979;E;H;E
10:56:00,981;F;D;F
10:56:00,983;E;E;I
10:56:00,984;C;J;J
10:56:00,987;D;F;B
10:56:00,987;B;E;H
10:56:00,988;G;F;G
10:56:00,992;D;I;I
10:56:00,993;E;D;E
10:56:00,995;G;H;H
10:56:00,996;J;I;H
10:56:00,999;I;D;F
10:56:01,000;J;J;E
10:56:01,003;B;H;G
10:56:01,004;B;I;D
10:56:01,007;D;I;F
10:56:01,008;J;J;H
10:56:01,011;I;G;C
10:56:01,012;C;I;D
10:56:01,015;C;H;B
10:56:01,016;D;G;J
10:56:01,019;I;C;I
10:56:01,020;D;J;B
10:56:01,023;I;B;J
10:56:01,024;G;B;J
10:56:01,026;J;G;G
10:56:01,028;D;B;D
10:56:01,030;I;G;E
10:56:01,032;H;C;C
10:56:01,034;C;H;E
10:56:01,038;C;F;E
10:56:01,039;C;B;G
10:56:01,042;D;B;E
10:56:01,044;F;J;H
10:56:01,046;C;C;I
10:56:01,050;C;J;D
10:56:01,051;H;B;B
10:56:01,054;D;D;E
10:56:01,058;G;D;B
10:56:01,060;J;D;I
10:56:01,062;B;D;D
10:56:01,062;J;F;F
10:56:01,066;H;H;E
10:56:01,068;I;J;H
10:56:01,070;I;E;C
10:56:01,072;H;G;H
10:56:01,075;H;B;J
10:56:01,076;I;C;I
10:56:01,078;C;B;J
10:56:01,080;F;J;C
10:56:01,082;H;D;H
10:56:01,083;D;E;F
10:56:01,086;G;E;I
10:56:01,090;B;J;G
10:56:01,092;D;E;J
10:56:01,094;B;H;B
10:56:01,096;F;F;F
10:56:01,096;D;I;I
10:56:01,098;J;H;C
10:56:01,098;H;J;I
10:56:01,099;G;G;G
10:56:01,100;F;F;J
10:56:01,102;I;B;H
10:56:01,106;D;E;J
10:56:01,107;F;C;D
10:56:01,111;H;F;C
10:56:01,114;C;J;G
10:56:01,114;F;B;G
10:56:01,114;I;D;J
10:56:01,115;E;C;B
10:56:01,118;J;I;B
10:56:01,122;E;G;D
10:56:01,123;B;B;F
10:56:01,126;I;J;F
10:56:01,129;H;C;E
10:56:01,131;G;J;H
10:56:01,133;C;C;C
10:56:01,134;E;G;I
10:56:01,135;B;B;J
10:56:01,139;B;B;H
10:56:01,144;I;D;D
10:56:01,145;B;H;F
10:56:01,148;H;G;G
10:56:01,151;F;B;G
10:56:01,153;C;B;H
10:56:01,155;J;B;I
10:56:01,159;J;B;E
10:56:01,163;B;I;D
10:56:01,165;F;G;G
10:56:01,167;H;J;H
10:56:01,168;C;E;I
10:56:01,171;C;C;E
10:56:01,172;I;F;E
10:56:01,172;E;J;G
10:56:01,173;D;C;F
10:56:01,177;C;I;J
10:56:01,178;F;E;F
10:56:01,181;F;J;J
10:56:01,185;H;I;B
10:56:01,186;F;E;C
10:56:01,189;D;I;I
10:56:01,193;G;B;G
10:56:01,197;G;D;C
10:56:01,198;H;I;J
10:56:01,201;H;I;B
10:56:01,201;J;D;F
10:56:01,202;J;B;B
10:56:01,203;F;D;J
10:56:01,205;H;B;B
10:56:01,209;E;B;D
10:56:01,210;J;D;I
10:56:01,212;G;E;B
10:56:01,216;B;F;F
10:56:01,217;G;C;J
10:56:01,220;C;F;J
10:56:01,220;H;D;H
10:56:01,224;F;H;D
10:56:01,224;E;F;I
10:56:01,224;C;C;E
10:56:01,224;C;H;C
10:56:01,225;J;D;I
10:56:01,229;J;E;H
10:56:01,230;C;E;G
10:56:01,232;B;B;E
10:56:01,232;G;I;E
10:56:01,232;I;B;B
10:56:01,234;H;C;D
10:56:01,237;F;D;B
10:56:01,237;F;I;F
10:56:01,237;I;H;E
10:56:01,238;F;C;H
10:56:01,239;I;D;H
10:56:01,240;I;B;J
10:56:01,241;H;E;I
10:56:01,243;E;F;B
10:56:01,244;H;G;I
10:56:01,246;H;G;F
10:56:01,247;C;B;B
10:56:01,250;D;G;B
10:56:01,251;H;D;C
10:56:01,253;C;H;E
10:56:01,257;D;D;J
10:56:01,258;J;H;F
10:56:01,261;I;E;E
10:56:01,265;J;H;D
10:56:01,266;J;J;F
10:56:01,268;G;B;I
10:56:01,272;C;E;C
10:56:01,277;G;D;G
10:56:01,278;D;G;H
10:56:01,280;D;G;J
10:56:01,284;H;C;B
10:56:01,286;C;G;G
10:56:01,288;G;C;G
10:56:01,290;E;G;J
10:56:01,292;F;H;J
10:56:01,292;F;G;I
10:56:01,293;G;G;F
10:56:01,293;G;I;G
10:56:01,294;G;E;C
10:56:01,294;C;D;I
10:56:01,294;G;C;I
10:56:01,295;C;E;G
10:56:01,298;H;H;G
10:56:01,302;B;I;H
10:56:01,304;F;E;H
10:56:01,306;J;G;G
10:56:01,307;J;I;E
10:56:01,308;B;E;E
10:56:01,311;D;J;J
10:56:01,312;H;G;I
10:56:01,314;I;E;J
10:56:01,315;D;B;G
10:56:01,318;C;C;G
10:56:01,320;J;I;I
10:56:01,322;E;I;I
10:56:01,323;G;D;C
10:56:01,326;J;E;F
10:56:01,327;C;E;B
10:56:01,330;I;F;B
10:56:01,332;J;B;H
10:56:01,334;J;B;H
10:56:01,335;I;D;J
10:56:01,337;G;C;F
10:56:01,338;C;H;H
10:56:01,339;I;F;C
10:56:01,342;I;J;C
10:56:01,342;F;B;F
10:56:01,342;D;G;C
10:56:01,343;D;E;F
10:56:01,343;C;J;J
10:56:01,344;H;C;J
10:56:01,344;F;E;C
10:56:01,347;F;I;H
10:56:01,348;J;I;F
10:56:01,351;B;G;G
10:56:01,351;H;B;J
10:56:01,351;H;J;J
10:56:01,351;E;H;J
10:56:01,352;J;J;H
10:56:01,352;F;J;H
10:56:01,356;B;I;H
10:56:01,357;C;H;G
10:56:01,358;C;C;B
10:56:01,362;C;C;F
10:56:01,364;B;E;J
10:56:01,366;D;F;C
10:56:01,367;I;I;F
10:56:01,370;J;H;D
10:56:01,371;H;H;C
10:56:01,374;J;I;H
10:56:01,378;B;D;E
10:56:01,378;C;I;C
10:56:01,379;F;I;E
10:56:01,379;E;J;H
10:56:01,383;J;C;D
10:56:01,384;B;F;F
10:56:01,386;I;B;H
10:56:01,387;C;B;H
10:56:01,390;B;B;B
10:56:01,394;C;C;D
10:56:01,395;D;J;J
10:56:01,398;H;J;D
10:56:01,399;B;I;B
10:56:01,401;H;F;E
10:56:01,403;H;F;C
10:56:01,405;H;C;J
10:56:01,409;C;E;G
10:56:01,409;I;D;J
10:56:01,410;F;I;J
10:56:01,410;I;F;D
10:56:01,411;B;F;D
10:56:01,416;F;C;E
10:56:01,416;G;H;G
10:56:01,417;I;G;I
10:56:01,420;F;C;C
10:56:01,420;J;B;H
10:56:01,420;H;C;I
10:56:01,422;H;J;J
10:56:01,422;I;F;D
10:56:01,424;D;J;C
10:56:01,424;B;D;H
10:56:01,424;G;D;H
10:56:01,425;G;B;G
10:56:01,429;B;E;J
10:56:01,430;D;F;D
10:56:01,433;C;E;F
10:56:01,437;H;B;J
10:56:01,438;I;J;C
10:56:01,440;G;I;J
10:56:01,441;E;D;F
10:56:01,444;D;D;D
10:56:01,445;C;J;B
10:56:01,448;F;B;C
10:56:01,449;I;C;C
10:56:01,449;D;J;G
10:56:01,452;B;H;J
10:56:01,453;F;F;E
10:56:01,456;J;D;G
10:56:01,460;J;G;J
10:56:01,460;D;H;H
10:56:01,460;F;G;F
10:56:01,461;D;B;J
10:56:01,464;D;D;F
10:56:01,468;G;F;I
10:56:01,469;J;D;B
10:56:01,472;J;E;G
10:56:01,473;I;D;C
10:56:01,476;B;B;H
10:56:01,479;F;I;G
10:56:01,481;J;H;G
10:56:01,483;I;E;B
10:56:01,484;F;F;G
10:56:01,486;C;F;I
10:56:01,487;G;I;I
10:56:01,488;F;G;J
10:56:01,491;F;I;C
10:56:01,491;E;G;B
10:56:01,492;E;J;B
10:56:01,492;G;D;J
10:56:01,493;I;I;G
10:56:01,495;B;H;C
10:56:01,496;B;G;I
10:56:01,499;E;H;I
10:56:01,500;C;C;C
10:56:01,502;E;J;J
10:56:01,503;B;G;I
10:56:01,506;E;H;B
10:56:01,508;J;H;C
10:56:01,510;F;E;E
10:56:01,515;F;B;I
10:56:01,516;D;J;D
10:56:01,519;H;C;F
10:56:01,522;I;J;B
10:56:01,524;G;I;J
10:56:01,526;C;C;D
10:56:01,527;D;B;H
10:56:01,530;F;F;F
10:56:01,533;I;B;I
10:56:01,533;J;C;I
10:56:01,534;J;C;C
10:56:01,535;F;J;J
10:56:01,538;G;H;H
10:56:01,542;J;E;H
10:56:01,543;C;G;J
10:56:01,546;G;B;E
10:56:01,547;D;B;J
10:56:01,550;C;G;J
10:56:01,554;C;C;F
10:56:01,555;E;B;H
10:56:01,557;G;C;J
10:56:01,562;B;J;I
10:56:01,562;J;E;C
10:56:01,562;F;D;I
10:56:01,562;I;B;B
10:56:01,562;I;G;E
10:56:01,563;H;C;J
10:56:01,566;E;C;J
10:56:01,567;H;I;I
10:56:01,570;E;H;F
10:56:01,570;G;J;H
10:56:01,570;F;I;B
10:56:01,571;G;I;H
10:56:01,574;B;F;D
10:56:01,575;I;D;B
10:56:01,578;C;C;B
10:56:01,582;J;I;J
10:56:01,583;J;D;B
10:56:01,584;E;H;C
10:56:01,586;D;D;F
10:56:01,590;G;B;J
10:56:01,591;B;H;D
10:56:01,591;E;C;C
10:56:01,593;B;I;G
10:56:01,597;I;H;B
10:56:01,598;H;H;I
10:56:01,602;J;G;G
10:56:01,603;E;C;C
10:56:01,605;E;G;E
10:56:01,605;D;F;E
10:56:01,606;F;E;J
10:56:01,609;G;F;B
10:56:01,613;F;D;D
10:56:01,617;B;F;F
10:56:01,619;H;E;H
10:56:01,621;F;G;H
10:56:01,625;H;H;D
10:56:01,626;C;E;G
10:56:01,628;E;E;G
10:56:01,632;D;E;B
10:56:01,633;F;G;G
10:56:01,636;D;C;I
10:56:01,637;B;E;F
10:56:01,640;C;J;J
10:56:01,644;I;G;J
10:56:01,645;J;F;F
10:56:01,648;F;D;F
10:56:01,652;D;F;B
10:56:01,653;C;F;C
10:56:01,656;C;G;B
10:56:01,660;B;C;F
10:56:01,663;C;F;I
10:56:01,668;J;E;G
10:56:01,668;B;E;D
10:56:01,669;E;H;E
10:56:01,673;B;C;B
10:56:01,674;D;H;B
10:56:01,674;J;F;G
10:56:01,675;J;D;E
10:56:01,677;E;E;H
10:56:01,679;C;H;J
10:56:01,681;D;D;H
10:56:01,685;D;E;D
10:56:01,686;J;B;C
10:56:01,689;I;F;D
10:56:01,693;G;E;D
10:56:01,694;H;J;G
10:56:01,696;F;G;E
10:56:01,698;G;J;B
10:56:01,700;B;H;G
10:56:01,701;F;H;F
10:56:01,705;G;D;C
10:56:01,708;G;G;B
10:56:01,710;C;J;H
10:56:01,712;J;C;C
10:56:01,716;H;E;G
10:56:01,720;C;B;C
10:56:01,722;F;D;C
10:56:01,724;B;I;F
10:56:01,728;F;I;I
10:56:01,729;J;J;F
10:56:01,731;D;I;G
10:56:01,731;G;J;J
10:56:01,732;D;H;B
10:56:01,736;B;H;H
10:56:01,737;H;C;G
10:56:01,740;F;J;E
10:56:01,744;G;G;J
10:56:01,745;I;J;E
10:56:01,748;E;I;F
10:56:01,749;D;D;H
10:56:01,751;J;G;C
10:56:01,755;F;J;B
10:56:01,759;H;I;F
10:56:01,760;I;G;B
10:56:01,761;G;I;C
10:56:01,761;I;D;B
10:56:01,764;H;I;E
10:56:01,768;F;F;I
10:56:01,769;E;D;D
10:56:01,773;F;E;B
10:56:01,776;I;H;C
10:56:01,777;I;E;C
10:56:01,780;G;F;C
10:56:01,784;C;H;E
10:56:01,788;J;G;I
10:56:01,789;E;B;B
10:56:01,792;C;F;H
10:56:01,795;B;B;H
10:56:01,797;I;E;C
10:56:01,799;J;B;G
10:56:01,803;F;C;B
10:56:01,807;H;F;F
10:56:01,808;D;I;H
10:56:01,811;H;J;G
10:56:01,815;I;F;E
10:56:01,816;I;B;C
10:56:01,819;C;J;H
10:56:01,823;E;B;E
10:56:01,824;J;I;D
10:56:01,827;I;G;D
10:56:01,828;H;I;D
10:56:01,830;J;F;D
10:56:01,834;I;F;H
10:56:01,839;E;H;G
10:56:01,840;G;E;J
10:56:01,842;I;G;D
10:56:01,846;I;F;E
10:56:01,850;J;J;J
10:56:01,851;B;J;G
10:56:01,854;F;C;F
10:56:01,858;F;J;F
10:56:01,859;J;D;B
10:56:01,861;B;D;E
10:56:01,865;F;D;G
10:56:01,865;E;E;F
10:56:01,866;E;G;B
10:56:01,869;C;F;B
10:56:01,870;D;H;J
10:56:01,874;J;B;F
10:56:01,877;E;D;B
10:56:01,878;F;H;H
10:56:01,881;I;I;I
10:56:01,881;J;G;F
10:56:01,883;H;G;J
10:56:01,886;H;G;C
10:56:01,886;F;J;C
10:56:01,887;D;J;D
10:56:01,888;E;H;E
10:56:01,889;I;H;F
10:56:01,891;F;H;F
10:56:01,894;H;H;H
10:56:01,895;I;H;D
10:56:01,898;J;G;B
10:56:01,902;C;J;H
10:56:01,903;G;D;C
10:56:01,907;D;E;H
10:56:01,910;E;H;B
10:56:01,911;D;B;E
10:56:01,912;H;E;E
10:56:01,912;E;G;I
10:56:01,914;E;I;E
10:56:01,918;G;E;J
10:56:01,918;I;H;E
10:56:01,919;E;H;J
10:56:01,919;G;I;D
10:56:01,924;E;I;E
10:56:01,925;J;C;I
10:56:01,928;B;B;G
10:56:01,928;B;C;I
10:56:01,929;C;H;H
10:56:01,930;G;I;B
10:56:01,933;B;H;D
10:56:01,935;G;E;D
10:56:01,936;I;J;J
10:56:01,936;F;I;G
10:56:01,937;J;I;J
10:56:01,940;E;D;I
10:56:01,944;I;G;C
10:56:01,945;D;F;I
10:56:01,948;J;E;J
10:56:01,949;I;G;G
10:56:01,952;E;D;H
10:56:01,956;F;F;J
10:56:01,956;G;C;J
10:56:01,960;E;G;B
10:56:01,964;G;E;E
10:56:01,965;F;G;J
10:56:01,967;C;C;F
10:56:01,971;I;C;B
10:56:01,971;I;F;E
10:56:01,971;C;J;F
10:56:01,972;E;B;D
10:56:01,975;G;D;D
10:56:01,975;J;H;H
10:56:01,977;B;C;D
10:56:01,977;B;C;C
10:56:01,981;D;E;E
10:56:01,982;I;E;E
10:56:01,984;E;D;F
10:56:01,988;J;G;H
10:56:01,989;H;I;C
10:56:01,993;B;B;J
10:56:01,993;B;J;J
10:56:01,993;D;B;G
10:56:01,993;E;I;I
10:56:01,993;E;G;B
10:56:01,995;D;F;C
10:56:01,997;D;I;G
10:56:01,999;B;H;J
10:56:02,002;C;J;D
10:56:02,003;G;E;D
10:56:02,007;E;B;F
10:56:02,008;I;E;J
10:56:02,011;I;G;H
10:56:02,015;F;C;C
10:56:02,016;E;J;C
10:56:02,019;C;D;D
10:56:02,019;C;G;H
10:56:02,019;I;B;G
10:56:02,020;G;G;E
10:56:02,023;G;E;F
10:56:02,024;B;C;J
10:56:02,027;F;D;E
10:56:02,027;H;I;B
10:56:02,031;D;C;C
10:56:02,033;J;G;G
10:56:02,034;C;C;J
10:56:02,035;G;G;I
10:56:02,038;I;B;H
10:56:02,039;E;B;J
10:56:02,042;B;D;C
10:56:02,046;B;D;C
10:56:02,047;E;E;B
10:56:02,049;G;E;I
10:56:02,053;H;J;D
10:56:02,055;G;B;F
10:56:02,058;B;B;E
10:56:02,058;D;I;B
10:56:02,058;F;G;F
10:56:02,058;D;E;C
